length,num_digits,num_uppercase,num_lowercase,num_special,has_digit,has_upper,has_lower,has_special,password,strength
7,2,1,2,2,1,1,1,1,y~+0C5e,Medium
11,1,3,4,3,1,1,1,1,"I1or,A]]Mos",Strong
6,3,0,3,0,1,0,1,0,c6kv28,Medium
10,1,0,3,6,1,0,1,1,p:@#9&%{tx,Strong
13,1,6,3,3,1,1,1,1,G3nKf#x-IRO[O,Weak
11,1,6,1,3,1,1,1,1,A*L`nW0=HCZ,Weak
11,1,4,3,3,1,1,1,1,(~mQHvDgM[5,Weak
6,0,1,4,1,0,1,1,1,o)hgPs,Weak
6,1,1,3,1,1,1,1,1,]yiH2d,Strong
9,2,2,5,0,1,1,1,0,tpxu4G5oT,Strong
11,1,2,4,4,1,1,1,1,rJx6u`~|x]V,Medium
8,0,5,3,0,0,1,1,0,eAZQPBik,Strong
10,0,2,4,4,0,1,1,1,$;?LJ<vows,Strong
7,2,3,0,2,1,1,0,1,#7I]F6M,Strong
6,1,1,4,0,1,1,1,0,1fnsnN,Weak
9,2,3,0,4,1,1,0,1,">,|PZ2Y0.",Medium
6,1,2,1,2,1,1,1,1,3Wl>X&,Medium
8,2,0,3,3,1,0,1,1,nw4~$q&6,Medium
8,4,1,1,2,1,1,1,1,0(9Q-h16,Weak
14,2,7,3,2,1,1,1,1,IX37w-hMD{VAoO,Weak
12,1,1,4,6,1,1,1,1,"_""\s|ekx<K[9",Medium
10,4,2,3,1,1,1,1,1,"36rZd,L3r7",Strong
12,0,8,0,4,0,1,0,1,!FT@)NLHDO&T,Strong
7,1,2,3,1,1,1,1,1,qfW2nH\,Medium
14,3,4,2,5,1,1,1,1,6J*5XKc@>>1!Ca,Weak
6,0,3,1,2,0,1,1,1,G#IKz;,Strong
6,0,1,1,4,0,1,1,1,:'{p=X,Medium
11,1,4,3,3,1,1,1,1,zDq%WI8:Tj#,Medium
8,0,4,1,3,0,1,1,1,}G_Xp]NE,Strong
13,1,6,3,3,1,1,1,1,AN|d]NRk_gGZ4,Weak
7,2,0,2,3,1,0,1,1,+s?4#z2,Weak
11,0,5,6,0,0,1,1,0,akRWwgCXwWf,Weak
7,0,0,2,5,0,0,1,1,</?i`-c,Medium
7,1,2,0,4,1,1,0,1,VA~8}{%,Weak
7,1,3,1,2,1,1,1,1,Y<rW2%S,Weak
6,1,1,1,3,1,1,1,1,"]-,0Oc",Weak
7,0,1,4,2,0,1,1,1,z(lVs-p,Weak
8,1,1,3,3,1,1,1,1,l3cV)\~q,Weak
11,3,5,1,2,1,1,1,1,9$d5AKH0&GD,Medium
9,0,3,3,3,0,1,1,1,Q.i<IUjz:,Weak
12,0,3,3,6,0,1,1,1,QKFp:]};`ux',Weak
8,0,2,1,5,0,1,1,1,\]IA)t:_,Strong
8,1,4,1,2,1,1,1,1,iRSG?+2P,Strong
6,0,0,3,3,0,0,1,1,/+t+wq,Weak
11,0,3,4,4,0,1,1,1,zO<kyDG:o`),Strong
7,0,2,2,3,0,1,1,1,Ub#i/[W,Medium
7,0,2,1,4,0,1,1,1,Q}`w=_R,Medium
6,1,2,2,1,1,1,1,1,0rgF?N,Weak
11,2,4,3,2,1,1,1,1,PCX8pe0T+@e,Weak
6,1,3,2,0,1,1,1,0,kFO4hI,Medium
11,2,3,3,3,1,1,1,1,W9u`@A_2fJn,Strong
14,1,6,3,4,1,1,1,1,"P`O8;R/aLO,Dre",Strong
